BlockSize,N,Time,GFLOPS
16,256,0.00014304,234.5807606263982
16,512,0.000454784,590.2482409231635
16,1024,0.00371149,578.6041853810734
16,2048,0.0276353,621.6639292499086
32,256,0.00014304,234.5807606263982
32,512,0.000400256,670.6594179724976
32,1024,0.00346659,619.4801369645675
32,2048,0.0234464,732.7295100313908
